"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2022","132.60","131.83","133.57","131.58","8.64M","0.29%"
"Aug 12, 2022","132.22","130.20","132.82","129.85","8.73M","1.85%"
"Aug 11, 2022","129.82","129.70","130.37","128.60","7.91M","0.53%"
"Aug 10, 2022","129.14","130.00","130.15","128.39","8.36M","0.21%"
"Aug 09, 2022","128.87","127.89","128.97","127.21","6.44M","0.99%"
"Aug 08, 2022","127.61","126.65","128.21","126.61","6.04M","0.81%"
"Aug 05, 2022","126.58","125.51","126.81","125.12","10.67M","0.80%"
"Aug 04, 2022","125.57","130.67","130.80","125.33","17.61M","-3.78%"
"Aug 03, 2022","130.50","132.16","132.94","129.86","10.48M","-1.64%"
"Aug 02, 2022","132.68","133.15","133.71","131.40","6.57M","0.11%"
"Aug 01, 2022","132.54","131.06","134.23","131.00","8.33M","0.37%"
"Jul 29, 2022","132.05","128.32","132.26","128.01","10.05M","1.77%"
"Jul 28, 2022","129.75","126.27","130.51","126.27","11.09M","2.50%"
"Jul 27, 2022","126.59","121.24","126.76","121.03","14.05M","3.78%"
"Jul 26, 2022","121.98","121.13","122.69","120.06","31.80M","-7.60%"
"Jul 25, 2022","132.02","132.39","132.70","131.46","6.85M","-0.14%"
"Jul 22, 2022","132.21","132.54","133.39","131.23","4.54M","-0.26%"
"Jul 21, 2022","132.55","130.68","132.56","130.50","6.25M","1.46%"
"Jul 20, 2022","130.64","130.51","131.31","129.50","6.19M","0.83%"
"Jul 19, 2022","129.56","129.39","129.96","128.60","5.67M","0.61%"
"Jul 18, 2022","128.77","128.65","130.30","128.26","4.75M","-0.23%"
"Jul 15, 2022","129.07","128.80","130.27","128.05","7.06M","0.98%"
"Jul 14, 2022","127.82","124.16","128.32","124.14","6.97M","1.95%"
"Jul 13, 2022","125.37","124.44","126.46","123.91","4.23M","0.24%"
"Jul 12, 2022","125.07","125.11","127.13","124.72","4.58M","-0.30%"
"Jul 11, 2022","125.45","125.02","126.33","124.62","3.84M","0.04%"
"Jul 08, 2022","125.40","125.82","126.61","125.15","4.92M","0.06%"
"Jul 07, 2022","125.32","125.19","125.53","124.12","5.83M","0.15%"
"Jul 06, 2022","125.13","124.48","126.28","124.30","7.10M","0.71%"
"Jul 05, 2022","124.25","122.21","124.51","121.61","6.07M","1.32%"
"Jul 01, 2022","122.63","121.94","122.92","121.16","5.82M","0.86%"
"Jun 30, 2022","121.58","120.88","122.06","119.89","6.39M","-0.28%"
"Jun 29, 2022","121.92","122.89","123.35","120.97","6.37M","-0.37%"
"Jun 28, 2022","122.37","124.66","125.57","122.29","5.13M","-1.41%"
"Jun 27, 2022","124.12","123.78","124.74","122.79","6.63M","0.32%"
"Jun 24, 2022","123.72","124.09","125.31","123.16","10.62M","0.08%"
"Jun 23, 2022","123.62","121.75","123.96","121.20","6.01M","2.43%"
"Jun 22, 2022","120.69","122.10","123.25","120.59","6.75M","-1.21%"
"Jun 21, 2022","122.17","118.30","122.78","118.22","7.97M","3.28%"
"Jun 17, 2022","118.29","120.02","120.88","117.97","12.28M","-1.93%"
"Jun 16, 2022","120.62","118.35","121.76","118.23","10.24M","1.04%"
"Jun 15, 2022","119.38","119.97","120.41","117.90","8.64M","-0.07%"
"Jun 14, 2022","119.46","119.13","120.00","118.17","7.18M","0.04%"
